ms_start,ms_end,frame_start,frame_end,emotions
0.0,0.0,1,1,"['anger', 'happy']"
33.36666666666667,33.36666666666667,2,2,"['disgust', 'happy']"
66.73333333333333,66.73333333333333,3,3,"['sad', 'happy']"
100.10000000000001,133.46666666666667,4,5,"['disgust', 'happy']"
166.83333333333334,166.83333333333334,6,6,"['sad', 'happy']"
200.20000000000002,200.20000000000002,7,7,"['anger', 'happy']"
233.56666666666666,233.56666666666666,8,8,"['fear', 'happy']"
266.93333333333334,467.1333333333333,9,15,"['anger', 'happy']"
500.50000000000006,533.8666666666667,16,17,anger
567.2333333333333,567.2333333333333,18,18,"['anger', 'happy']"
600.6,734.0666666666667,19,23,anger
767.4333333333334,800.8000000000001,24,25,[]
834.1666666666667,867.5333333333334,26,27,happy
900.9000000000001,900.9000000000001,28,28,[]
934.2666666666667,1001.0000000000001,29,31,happy
1034.3666666666666,1034.3666666666666,32,32,[]
1067.7333333333333,1134.4666666666667,33,35,happy
1167.8333333333333,1167.8333333333333,36,36,anger
1201.2,3970.6333333333337,37,120,happy
4004.0000000000005,4004.0000000000005,121,121,"['anger', 'happy']"
4037.3666666666672,4037.3666666666672,122,122,"['happy', 'anger']"
4070.733333333333,4471.133333333333,123,135,happy
4504.5,4504.5,136,136,"['anger', 'happy']"
4537.866666666667,4537.866666666667,137,137,happy
4571.233333333334,4571.233333333334,138,138,"['happy', 'disgust']"
4604.6,5905.9,139,178,happy
5939.266666666666,6072.733333333334,179,183,disgust
6106.1,6139.466666666667,184,185,anger
6172.833333333334,6172.833333333334,186,186,disgust
6206.2,6206.2,187,187,anger
6239.566666666667,6373.033333333334,188,192,disgust
6406.400000000001,6473.133333333334,193,195,anger
6506.5,6506.5,196,196,disgust
6539.866666666667,6740.0666666666675,197,203,anger
6773.433333333334,6873.533333333334,204,207,disgust
6906.900000000001,6940.266666666667,208,209,fear
6973.633333333334,6973.633333333334,210,210,disgust
7007.000000000001,7007.000000000001,211,211,anger
7040.366666666668,7107.1,212,214,disgust
7140.466666666667,7140.466666666667,215,215,anger
7173.833333333334,7240.566666666667,216,218,neutral
7273.933333333333,7307.3,219,220,disgust
7340.666666666667,7340.666666666667,221,221,happy
7374.033333333334,8141.466666666666,222,245,fear
8174.833333333334,8208.199999999999,246,247,surprise
8241.566666666668,8308.300000000001,248,250,fear
8341.666666666666,8341.666666666666,251,251,surprise
8375.033333333335,8808.8,252,265,fear
8842.166666666668,9009.0,266,271,surprise
9042.366666666667,9042.366666666667,272,272,fear
9075.733333333334,9075.733333333334,273,273,surprise
9109.1,9142.466666666667,274,275,"['happy', 'sad']"
9175.833333333334,9175.833333333334,276,276,happy
9209.2,9209.2,277,277,"['happy', 'happy']"
9242.566666666668,9242.566666666668,278,278,happy
9275.933333333334,10710.7,279,322,"['happy', 'happy']"
10744.066666666668,10810.800000000001,323,325,happy
10844.166666666668,10844.166666666668,326,326,"['happy', 'happy']"
10877.533333333335,10877.533333333335,327,327,happy
10910.9,10944.266666666668,328,329,"['happy', 'happy']"
10977.633333333333,10977.633333333333,330,330,"['happy', 'sad']"
11011.000000000002,11044.366666666667,331,332,"['sad', 'happy']"
11077.733333333335,11344.666666666666,333,341,"['happy', 'happy']"
11378.033333333335,11578.233333333334,342,348,happy
11611.6,11611.6,349,349,"['happy', 'happy']"
11644.966666666667,11678.333333333334,350,351,happy
11711.7,11745.066666666668,352,353,"['happy', 'happy']"
11778.433333333334,11811.8,354,355,happy
11845.166666666668,11978.633333333335,356,360,"['happy', 'happy']"
12012.0,12045.366666666669,361,362,"['sad', 'happy']"
12078.733333333334,12078.733333333334,363,363,"['happy', 'happy']"
12112.1,12145.466666666667,364,365,happy
12178.833333333334,12212.2,366,367,sad
12245.566666666668,12345.666666666668,368,371,"['sad', 'happy']"
12379.033333333335,12379.033333333335,372,372,"['uncertain', 'happy']"
12412.4,12479.133333333333,373,375,"['happy', 'happy']"
12512.500000000002,12679.333333333334,376,381,"['uncertain', 'happy']"
12712.7,12712.7,382,382,"['happy', 'uncertain']"
12746.066666666668,12746.066666666668,383,383,"['uncertain', 'happy']"
12779.433333333334,13079.733333333334,384,393,"['sad', 'happy']"
13113.1,13146.466666666667,394,395,"['sad', 'disgust']"
13179.833333333334,13213.2,396,397,"['sad', 'anger']"
13246.566666666668,13246.566666666668,398,398,"['sad', 'sad']"
13279.933333333334,13313.3,399,400,"['neutral', 'sad']"
13346.666666666668,13346.666666666668,401,401,"['sad', 'anger']"
13380.033333333333,13380.033333333333,402,402,"['uncertain', 'anger']"
13413.400000000001,13413.400000000001,403,403,"['anger', 'sad']"
13446.766666666666,13480.133333333335,404,405,"['anger', 'neutral']"
13513.5,13546.866666666669,406,407,"['anger', 'contempt']"
